null2,bsA
-94831.355089,-94831.355088
-94826.125177,-94826.125177
-95140.384383,-95140.384383
-95037.875985,-95037.607849
-95126.280210,-95126.280209
-94758.271744,-94758.271744
-94747.298820,-94747.298820
-94339.351797,-94339.351797
-94320.441661,-94320.441662
-94874.913663,-94874.913664
-94070.880616,-94070.880615
-94745.530320,-94742.142479
-94259.400279,-94259.473696
-94828.747015,-94828.747015
-93928.446186,-93928.446186
-95274.392322,-95274.392324
-95484.067936,-95484.067936
-94733.863105,-94733.863105
-95715.897938,-95715.796355
-94509.461303,-94509.461304
-95438.769346,-95438.768553
-95014.869817,-95014.869816
-94196.798397,-94196.659573
-95084.318624,-95084.330231
-96009.243948,-96009.129073
-95666.173774,-95666.058328
-94185.402661,-94185.402661
-93701.437776,-93701.437776
-94570.641800,-94570.033152
-94833.989454,-94833.989454
-95336.007499,-95335.453887
-95299.224859,-95299.224857
-94042.044412,-94041.691649
-94527.825537,-94527.825537
-95603.622083,-95603.622083
-95724.538114,-95724.538115
-94306.901435,-94306.901435
-94675.651832,-94675.651832
-94382.647236,-94382.617015
-95488.838473,-95488.838473
-95654.936543,-95654.936543
-94770.939815,-94770.939815
-95074.295577,-95074.295577
-94664.100637,-94664.100637
-94813.918889,-94813.918889
-95308.495425,-95308.489173
-94986.769272,-94986.769272
-95382.171896,-95382.171894
-94568.777650,-94568.777651
-94577.124392,-94577.124392
-95186.587937,-95186.587938
-95059.061503,-95059.061503
-95501.984006,-95501.984006
-94778.407491,-94778.177530
-94466.331283,-94466.331282
-93729.401787,-93729.401784
-95315.084122,-95315.084119
-95531.520369,-95530.634086
-96158.938326,-96158.938326
-94747.367958,-94746.139406
-96446.324049,-96446.324050
-96542.874342,-96541.223110
-95462.474485,-95462.474424
-94581.801943,-94581.801943
-95231.744113,-95231.744113
-94210.739867,-94210.739868
-94978.698719,-94978.698719
-95236.308427,-95236.308427
-95825.082475,-95825.082475
-94449.659917,-94449.659917
-94986.159455,-94986.159454
-94479.642038,-94479.642037
-95071.348039,-95071.348039
-94267.738708,-94267.738708
-94231.097532,-94231.097532
-94398.994235,-94398.994237
-94000.816528,-94000.816528
-95706.731346,-95706.731346
-95066.080775,-95066.076698
-93881.023142,-93881.023142
-94988.521037,-94988.521037
-95094.581885,-95094.581885
-94632.630379,-94632.630379
-95046.331972,-95046.331972
-95144.114264,-95144.114264
-95214.931606,-95214.931602
-94932.067886,-94932.067886
-94320.051382,-94320.051382
-94999.106352,-94999.106354
-95124.629857,-95124.086396
-94495.441858,-94495.441858
-94802.438173,-94801.472587
-95867.538586,-95867.538586
-95373.942760,-95373.942760
-96818.957441,-96818.957442
-94918.686384,-94918.686384
-94881.281989,-94881.281988
-94084.491242,-94084.491243
-95234.603297,-95234.603334
-95578.633780,-95578.633040
-94528.984295,-94528.984296
-95040.013336,-95039.987997
-95875.578964,-95875.578961
-94725.257967,-94725.257967
-96140.033626,-96140.033626
-95314.818727,-95314.818727
-95037.501276,-95037.401634
-95161.380139,-95161.380139
-94309.666408,-94309.666410
-94092.598431,-94092.598431
-95057.781225,-95057.739554
-94550.893086,-94550.893085
-96257.941302,-96257.941302
-95818.257734,-95818.257734
-94045.343988,-94045.343988
-95252.295323,-95252.290038
-95190.514461,-95190.514461
-95321.888344,-95321.888343
-95165.828340,-95165.828340
-93970.049704,-93970.049704
-95187.296961,-95187.296962
-94736.340612,-94733.726427
-94423.392109,-94423.372336
-96068.230744,-96068.230744
-94185.743449,-94187.264719
-94341.752938,-94341.799697
-95149.221580,-95149.221580
-94014.187370,-94014.087428
-94491.470587,-94491.470586
-95129.324733,-95129.324733
-94423.013797,-94423.013797
-94856.597962,-94856.597962
-95903.630067,-95902.991165
-94539.662240,-94539.662240
-94572.335474,-94572.335474
-94220.581237,-94220.581237
-96269.986255,-96269.986255
-95217.378021,-95217.378021
-95259.076193,-95259.076193
-94436.188201,-94436.188199
-94443.755998,-94443.756009
-94470.061514,-94470.055814
-95218.349253,-95218.349253
-94872.577284,-94872.577284
-95088.359460,-95088.359460
-95927.680089,-95927.268669
-95425.791788,-95425.791789
-94709.718695,-94709.718695
-94182.940762,-94183.069071
-94471.746839,-94471.842167
-95627.768062,-95627.768062
-95157.856321,-95157.856321
-93752.041419,-93752.041419
-94884.397483,-94884.397484
-95292.897374,-95292.897374
-93965.883049,-93965.883049
-95781.785359,-95781.785359
-95247.196195,-95247.196195
-94452.240979,-94452.240979
-94420.102229,-94420.102229
-94478.216808,-94478.216810
-93577.535482,-93577.284208
-95085.845706,-95085.622914
-95068.588195,-95067.598419
-95337.785659,-95337.785659
-93424.506191,-93424.506190
-94443.012545,-94443.003435
-94620.313256,-94620.313256
-95046.001328,-95045.115695
-94627.322828,-94627.322828
-94282.801685,-94282.801685
-95356.526094,-95356.526094
-95058.295596,-95058.295596
-94619.029383,-94616.690527
-94210.056354,-94209.340204
-95010.034618,-95010.034618
-94904.527242,-94904.527242
-94760.917658,-94760.917658
-94521.462535,-94521.462536
-95299.994863,-95299.994819
-95485.253863,-95484.853063
-95190.988928,-95190.988928
-95225.956471,-95225.956471
-94954.609956,-94954.609376
-94326.916353,-94326.916353
-95008.547193,-95008.547193
-95337.568928,-95335.605479
-94985.051627,-94984.911916
-95214.527679,-95214.330400
-97054.306140,-97054.047935
-95421.029628,-95421.029628
-95606.601016,-95606.827057
-94926.893655,-94926.591521
-94814.774823,-94814.660151
-94513.768586,-94513.099255
-95634.685993,-95634.685993
-94710.555189,-94709.784869
-95071.213559,-95071.213559
-94658.331122,-94658.331122
-94993.895076,-94992.714374
-94572.642509,-94572.642504
-95409.327847,-95409.327847
-95428.981137,-95428.981137
-95576.286393,-95575.450847
-95905.580927,-95903.961613
-95975.641928,-95975.641928
-95111.991954,-95111.991955
-95770.224508,-95770.224508
-94915.363301,-94915.363301
-94337.165541,-94337.165541
-94296.428068,-94296.428068
-94684.288024,-94684.288024
-94217.647663,-94217.641449
-95328.251463,-95328.251463
-95339.310645,-95339.284781
-94905.095493,-94905.095496
-96033.889436,-96033.889436
-94172.065314,-94172.065314
-94841.998634,-94841.975796
-92903.880732,-92903.880732
-95066.654713,-95066.654714
-95016.507434,-95016.507434
-96024.841599,-96024.841599
-94963.592676,-94963.592677
-94997.733679,-94997.523081
-95158.233206,-95158.233206
-94124.876838,-94124.797639
-95176.176344,-95176.168718
-94853.368447,-94853.098586
-94173.336014,-94173.336014
-95362.737871,-95362.737872
-94634.763839,-94634.911281
-95287.591023,-95287.591023
-93296.543821,-93296.543821
-95554.426948,-95554.426948
-94827.655344,-94827.655344
-94525.198005,-94525.137136
-94887.878023,-94887.878023
-94183.500205,-94183.500205
-94660.501073,-94660.501073
-94466.097532,-94466.097532
-95030.286163,-95030.286163
-94858.819811,-94858.819811
-95039.735270,-95039.735270
-95125.044094,-95125.145714
-96033.586489,-96033.586489
-95362.902781,-95362.902781
-94374.710499,-94374.710498
-94878.112525,-94878.112525
-94549.496732,-94549.470931
-95641.597708,-95641.597708
-95882.555758,-95882.555761
-94211.931383,-94211.931383
-94918.902580,-94918.899889
-95083.799952,-95083.799952
-93815.855992,-93815.855992
-94238.617326,-94237.970911
-94508.022677,-94508.022676
-94147.862942,-94147.862942
-94996.951193,-94996.951194
-94980.040760,-94980.040759
-94776.366919,-94776.366919
-93335.928932,-93335.929764
-95440.900547,-95440.900549
-94528.338408,-94528.338409
-94331.764590,-94331.770700
-95849.660434,-95849.660434
-94667.973790,-94667.973790
-93988.382460,-93988.217586
-95094.160956,-95094.160956
-95810.272417,-95810.272417
-94813.448457,-94813.448457
-94404.727645,-94404.727645
-95404.217731,-95403.880752
-95077.726504,-95077.471241
-95599.142328,-95600.327028
-94335.542071,-94335.542071
-94646.783331,-94646.783328
-93817.507262,-93815.578542
-95703.383473,-95703.383473
-95924.169206,-95924.169205
-94610.726434,-94610.726434
-94087.370078,-94087.370078
-93991.020082,-93991.020083
-94378.856834,-94378.811266
-94895.072829,-94895.072829
-94599.441373,-94599.441373
-95809.667190,-95809.667191
-94647.834032,-94647.821624
-94659.695359,-94659.695359
-95467.014342,-95467.014342
-94269.321269,-94269.321269
-94173.728019,-94173.728019
-94683.520737,-94683.520735
-95911.588984,-95911.588985
-95020.842713,-95020.842714
-94667.493505,-94667.493505
-95046.697941,-95046.697941
-93172.794698,-93172.794778
-95684.967651,-95684.967651
-94685.876489,-94685.876489
-94316.220440,-94314.823147
-95210.224390,-95210.224390
-95607.499892,-95607.499892
-95191.358019,-95190.786020
-93461.248236,-93461.248239
-94645.245001,-94644.153327
-96668.678017,-96668.672929
-94250.145780,-94250.145780
-94142.293779,-94141.992391
-95149.858359,-95149.858359
-94346.472726,-94345.639667
-94358.872240,-94358.836627
-95025.630019,-95025.241514
-94337.712348,-94337.286870
-94682.944129,-94682.944129
-95046.721027,-95046.721009
-95551.941208,-95551.005244
-94494.763480,-94494.763480
-95345.777337,-95345.599108
-95126.318577,-95126.318576
-94835.321835,-94835.321837
-94330.289099,-94330.285848
-94954.643241,-94954.643242
-94879.454208,-94879.454198
-95360.657983,-95360.657974
-94973.019609,-94973.019609
-93821.224676,-93820.347917
-95591.324807,-95591.324807
-95203.921057,-95203.921058
-95560.921182,-95560.921182
-95264.373913,-95264.373916
-94923.524751,-94923.524751
-93804.557965,-93804.557965
-95173.501032,-95173.501033
-95317.347976,-95317.309071
-94970.452617,-94970.452617
