null2,bsA
-77311.134486,-77311.134486
-76421.275804,-76421.275804
-76001.208904,-76001.208904
-76041.653518,-76041.618061
-77083.194261,-77083.149562
-76740.986452,-76740.986452
-76523.652110,-76522.163160
-76378.057881,-76378.057881
-76603.474795,-76603.474795
-76897.580395,-76897.579796
-77095.396283,-77094.350068
-77041.068240,-77041.068240
-76717.307830,-76716.583899
-77049.847648,-77048.948039
-76194.936377,-76194.936377
-76494.325132,-76494.325132
-76884.646381,-76883.919178
-76534.303354,-76534.303354
-76788.271240,-76788.271240
-76628.557546,-76628.557546
-77300.499022,-77300.499022
-76724.040456,-76723.978445
-76309.874811,-76309.874811
-76883.631743,-76883.646054
-76537.689958,-76537.648634
-76208.229374,-76208.226224
-76870.775405,-76870.775405
-76915.185429,-76915.185429
-76581.811776,-76581.811776
-77087.434418,-77087.434418
-76646.015499,-76645.722149
-76950.346457,-76950.346457
-75972.309234,-75972.309234
-76223.419341,-76223.419341
-77008.511345,-77008.511345
-77042.808490,-77042.765007
-77058.789626,-77058.789626
-76465.973104,-76465.938029
-77122.352542,-77122.352542
-76669.356507,-76669.356507
-76935.541057,-76935.541057
-76689.375436,-76689.375436
-76601.377056,-76601.377056
-77507.758560,-77507.758560
-76828.531533,-76828.531533
-76719.369809,-76719.369809
-76541.490380,-76540.222085
-76763.307519,-76763.182232
-76636.523151,-76635.877104
-77724.350358,-77724.262012
-77125.827219,-77125.719145
-76991.453095,-76991.453095
-76488.019006,-76487.924421
-77199.669849,-77199.669849
-76901.054728,-76901.054728
-76268.053795,-76268.053795
-77090.579788,-77090.579788
-76412.169536,-76412.152089
-77082.068294,-77081.439761
-76956.963570,-76956.935041
-76343.312987,-76343.311912
-77804.902363,-77804.877910
-76355.869586,-76355.869586
-76892.223631,-76892.223631
-76513.070281,-76513.070281
-76879.802842,-76879.802842
-77064.397118,-77064.392020
-77365.358477,-77365.278244
-76874.688945,-76874.688944
-76615.254395,-76615.254395
-76701.833306,-76701.805268
-76703.201400,-76703.201400
-76474.799562,-76474.799562
-76466.253534,-76465.503903
-76836.022899,-76836.022900
-77626.692882,-77626.692882
-77484.712434,-77484.712434
-76804.035821,-76803.367141
-76580.345755,-76580.345755
-77119.556295,-77119.556295
-76221.746270,-76221.746270
-76661.239690,-76661.239690
-76417.703132,-76415.247439
-76305.924931,-76305.924931
-77109.471189,-77109.471194
-76208.859544,-76208.830506
-77385.487896,-77385.398162
-77004.020272,-77004.020272
-76223.077976,-76223.077976
-76634.830457,-76634.830457
-77201.616566,-77201.616566
-77469.298852,-77469.298852
-76716.186370,-76716.186370
-76376.991446,-76376.991446
-76848.504524,-76848.435541
-76959.685015,-76959.444272
-77059.448150,-77059.448150
-76882.544491,-76882.456773
-76938.430378,-76938.295311
-76944.509170,-76944.509170
-77247.355203,-77247.354678
-77178.216381,-77178.216381
-77289.107781,-77289.107781
-76978.458658,-76978.458658
-76479.226224,-76479.226224
-76757.270232,-76757.270232
-76956.005591,-76954.988920
-76802.356126,-76802.356126
-76886.518631,-76886.510012
-77479.380471,-77479.380471
-76978.179951,-76978.179951
-76212.183824,-76212.183780
-77129.657091,-77129.657091
-77092.740768,-77092.740768
-76341.617142,-76341.550404
-76728.292853,-76727.603025
-76788.548781,-76788.057370
-76625.363513,-76625.363513
-76857.330313,-76857.330313
-77070.844358,-77070.844358
-77540.383390,-77540.383390
-76883.917493,-76883.917493
-76204.768446,-76204.768446
-75832.232307,-75830.869475
-76953.134601,-76953.128066
-76168.244748,-76168.244748
-76335.184167,-76335.184167
-76785.376626,-76785.376626
-77077.766691,-77077.761924
-77259.841355,-77259.841355
-76806.771552,-76806.743646
-77524.256869,-77524.256869
-77153.057568,-77153.004403
-76959.971802,-76959.971802
-76441.115389,-76441.115389
-76974.398773,-76974.398773
-77330.879829,-77330.879829
-77002.329035,-77002.329035
-76868.964913,-76868.964913
-76424.552537,-76423.109982
-76400.350775,-76400.350775
-77606.012200,-77606.012200
-76665.962822,-76665.836628
-77226.620400,-77226.387105
-77152.491350,-77152.491356
-76470.683961,-76470.683961
-77323.313746,-77323.286768
-76552.685828,-76552.685828
-77249.362091,-77249.358395
-76848.943583,-76848.943583
-76452.987745,-76452.987745
-76344.840436,-76344.840436
-77352.868137,-77352.868137
-76773.427690,-76773.427690
-77322.019221,-77321.750465
-77067.795300,-77067.795300
-77581.292208,-77581.061975
-77398.805134,-77398.783533
-76804.721367,-76804.721367
-76822.185849,-76821.602009
-76403.244338,-76403.155066
-77111.292218,-77110.532306
-76700.059542,-76699.839795
-76663.119069,-76663.119069
-76972.237444,-76972.195742
-77426.266258,-77426.266258
-76931.567762,-76931.567762
-76581.529803,-76581.529803
-77215.184188,-77215.165622
-76449.774154,-76449.621318
-76827.861106,-76827.861106
-77173.992674,-77173.951488
-76629.476461,-76629.056361
-77092.389501,-77092.309176
-77051.280728,-77051.279273
-75646.156018,-75646.141900
-76859.391932,-76859.391932
-76952.840787,-76952.840787
-76594.840301,-76594.840301
-76639.067028,-76639.067028
-76386.255266,-76386.255266
-77219.354496,-77219.354496
-77172.591160,-77172.167507
-76929.341639,-76929.038512
-75968.331068,-75968.331068
-76801.679160,-76801.679160
-76580.315359,-76580.315359
-77088.130256,-77087.842727
-76763.516647,-76763.458311
-77263.788107,-77263.788107
-77602.548907,-77602.491264
-76997.252511,-76997.252511
-76718.552176,-76718.552177
-76599.203728,-76599.203728
-76631.996970,-76631.996970
-77483.700001,-77483.700001
-76933.263823,-76933.263823
-76309.061898,-76306.221425
-77282.090490,-77282.078417
-76570.090059,-76570.090060
-76964.537511,-76964.537511
-77305.537803,-77304.991997
-76523.334188,-76523.334188
-76589.861876,-76589.861876
-76070.396383,-76070.396383
-76880.799612,-76880.737488
-76587.667970,-76587.667970
-76736.836771,-76736.738349
