null1,null2,bsA
-94923.394058,-94923.394079,-94923.397204
-95486.602356,-95486.602356,-95486.605729
-94709.887050,-94709.015232,-94708.444512
-94631.758787,-94631.758789,-94631.758807
-94907.916395,-94907.916396,-94907.576730
-94976.744207,-94975.570815,-94975.347001
-94455.434745,-94455.229712,-94455.177960
-93546.015733,-93545.733325,-93545.733325
-95764.853895,-95764.443421,-95764.443421
-94738.639092,-94738.639092,-94738.357572
-95043.181516,-95043.181516,-95043.181516
-95427.654050,-95427.650202,-95427.654052
-94722.998555,-94723.000708,-94722.998555
-94515.283274,-94515.283278,-94515.010304
-95091.855639,-95091.531432,-95091.234617
-94425.389096,-94425.223953,-94424.374798
-95263.455680,-95263.455680,-95263.455680
-95315.897990,-95315.897995,-95314.524600
-94133.215092,-94132.573640,-94131.838104
-95795.021742,-95794.966865,-95794.966865
-94338.986991,-94338.760504,-94338.178018
-94729.006013,-94728.593263,-94728.299069
-93280.289082,-93280.111408,-93279.953145
-95458.255627,-95458.255628,-95458.255628
-94019.753476,-94019.753506,-94019.753475
-94573.414130,-94572.640426,-94572.640422
-94009.032748,-94009.032749,-94009.032750
-95245.346792,-95245.346799,-95245.201493
-95471.359727,-95471.359727,-95470.275605
-95960.395806,-95960.343530,-95960.343530
-94906.666901,-94906.658685,-94906.095679
-94232.116348,-94231.967868,-94231.968207
-95423.552459,-95423.552460,-95423.552459
-95811.187932,-95810.680893,-95810.680893
-95437.868285,-95437.868285,-95437.590207
-95334.668872,-95333.690669,-95333.101689
-94913.913769,-94913.407342,-94913.407340
-94009.439166,-94009.247719,-94009.439166
-95172.315858,-95171.191028,-95171.191028
-95731.781137,-95731.286309,-95731.112077
-96080.595582,-96080.590988,-96080.592483
-95111.401841,-95110.818417,-95110.818417
-94874.418265,-94874.160560,-94874.099373
-94306.717022,-94302.606229,-94302.324229
-95323.841004,-95323.593456,-95322.666007
-95465.263207,-95465.234142,-95465.085153
-93609.376161,-93609.376161,-93609.376161
-95460.709846,-95460.693398,-95460.693398
-95438.940758,-95437.177051,-95437.177051
-95719.520419,-95719.251877,-95718.479622
-94834.739636,-94834.722420,-94834.090913
-94576.582637,-94576.406300,-94576.350080
-95522.110341,-95522.022097,-95522.022097
-93949.245983,-93948.929682,-93948.881322
-94591.877555,-94591.877555,-94591.732054
-95395.345890,-95394.780088,-95394.778957
-95045.704649,-95045.704649,-95045.704649
-93930.683673,-93930.683673,-93930.564545
-95214.166086,-95214.166085,-95214.166087
-94593.751837,-94593.751837,-94593.751837
-95540.903042,-95540.903042,-95540.517849
-95528.857922,-95527.889088,-95527.854025
-94364.220085,-94364.220085,-94364.151938
-95451.753931,-95451.765598,-95451.756897
-94914.276395,-94914.276395,-94914.276395
-94280.175786,-94279.825577,-94279.825578
-94306.829899,-94305.066372,-94304.784719
-94148.579454,-94148.579611,-94147.494218
-94873.350304,-94873.350305,-94872.877737
-93914.165101,-93914.165101,-93914.165102
-97017.867348,-97017.741249,-97017.485858
-95423.351454,-95421.202692,-95420.876342
-94128.975713,-94128.937266,-94128.975707
-95239.814351,-95239.814351,-95239.814351
-95170.552136,-95170.552163,-95170.239492
-95360.366368,-95360.162036,-95359.250659
-95013.060584,-95012.623398,-95010.011654
-95192.197160,-95191.433818,-95191.242791
-94814.097135,-94814.125187,-94812.947105
-94402.305692,-94402.305694,-94402.247830
-94987.936168,-94985.793105,-94985.530653
-93971.210613,-93965.471704,-93964.814541
-94789.420829,-94789.256000,-94789.296825
-95001.884737,-95001.784701,-95001.109570
-94599.119282,-94599.119282,-94599.070230
-95003.957818,-95003.363645,-95002.928790
-95505.597064,-95505.597064,-95505.204616
-95163.249115,-95163.245717,-95162.856627
-94264.678840,-94263.595431,-94263.030385
-94955.119422,-94955.119422,-94955.120728
-94708.788000,-94708.788000,-94708.788000
-95018.454173,-95018.454174,-95018.454179
-94360.201785,-94359.877675,-94359.881398
-93888.915947,-93888.718687,-93888.717941
-94671.287522,-94671.287536,-94671.291461
-95364.376103,-95364.376104,-95364.376103
-95646.972874,-95646.484903,-95646.467521
-94686.647429,-94685.832950,-94685.714967
-95673.465089,-95672.806479,-95672.185988
-93748.259219,-93747.667725,-93747.667724
-95156.723220,-95156.724527,-95156.699094
-94447.694491,-94446.938364,-94446.938364
-95153.698650,-95153.354054,-95153.423125
-94539.695652,-94539.695652,-94539.656240
-94323.699307,-94323.699307,-94322.990455
-93771.564406,-93771.638820,-93771.564409
-93458.304113,-93458.295984,-93458.256374
-94710.919185,-94709.693456,-94709.707837
-94521.547932,-94521.547932,-94520.612657
-95855.232426,-95851.462148,-95851.462148
-94856.924827,-94854.681306,-94854.681306
-94440.992919,-94440.983556,-94440.290473
-94647.172895,-94647.172895,-94645.457207
-95303.071501,-95301.482850,-95300.357862
-93680.547178,-93680.547192,-93680.547779
-94909.861543,-94909.786256,-94908.960016
-95790.206105,-95790.201688,-95787.109579
-94287.270144,-94287.270141,-94287.252570
-95081.328247,-95081.328247,-95081.323415
-94628.488845,-94626.956573,-94626.956573
-94536.590021,-94536.548880,-94536.190692
-94979.379089,-94979.379089,-94979.379199
-94650.678286,-94650.667970,-94650.667970
-94743.139456,-94743.139457,-94743.026593
-95102.648281,-95102.647593,-95102.524960
-94399.968748,-94399.968748,-94399.968748
-95760.549977,-95760.400983,-95760.400985
-95353.942025,-95353.862615,-95353.862615
-95552.075131,-95552.077053,-95550.734983
-94290.628726,-94290.628731,-94290.310450
-95068.563272,-95067.359974,-95066.846555
-94635.678803,-94635.678805,-94635.678802
-94148.819701,-94148.683011,-94148.601727
-95178.750618,-95178.750618,-95178.750618
-94735.785791,-94734.917638,-94734.917178
-94732.977599,-94732.975714,-94732.975714
-94773.383933,-94773.267186,-94772.115386
-95055.446503,-95054.494766,-95054.431130
-96008.491235,-96007.898206,-96002.680560
