null1,null2,bsA
-80546.898503,-80546.728469,-80546.728469
-80337.294314,-80336.742113,-80335.568190
-81030.717626,-81030.717626,-81030.717626
-80364.182368,-80364.182368,-80364.182368
-81058.307411,-81057.667869,-81057.632948
-81578.770899,-81578.770899,-81578.770899
-80849.953215,-80849.885382,-80849.533120
-80188.684421,-80188.614056,-80188.560908
-80647.424675,-80647.214962,-80647.176960
-81168.143894,-81168.143895,-81168.143894
-80766.527385,-80766.331948,-80766.331948
-81106.384564,-81106.384564,-81105.880942
-80509.930842,-80509.930781,-80509.930781
-80758.632135,-80758.632135,-80758.632135
-80343.268641,-80343.268641,-80343.268642
-81345.572157,-81345.572158,-81345.572157
-80666.571442,-80666.548341,-80666.231188
-81552.720375,-81552.720376,-81552.720376
-80948.951947,-80948.951947,-80948.951947
-80381.951285,-80381.951285,-80381.951285
-80684.658240,-80684.658240,-80684.658240
-81325.605908,-81325.605909,-81325.605908
-80861.468575,-80861.468575,-80861.468575
-80150.162710,-80150.079402,-80150.061891
-80858.226068,-80857.969125,-80857.765878
-81312.181727,-81312.181727,-81312.181727
-80525.052375,-80523.854898,-80523.856311
-81143.899438,-81143.899439,-81143.899438
-80575.805195,-80575.573557,-80575.128075
-80618.826972,-80618.826972,-80618.826972
-80733.227837,-80733.225389,-80733.060905
-81658.377965,-81658.060114,-81658.060114
-80327.001582,-80327.001582,-80327.001582
-80595.241679,-80595.083366,-80593.372339
-81062.377358,-81062.077900,-81060.546282
-80467.667893,-80467.667894,-80467.667893
-81118.170410,-81118.170410,-81118.170411
-80894.044738,-80893.552207,-80893.552207
-80816.765891,-80816.760576,-80816.760576
-80820.413925,-80820.413925,-80820.413925
-80471.609943,-80471.609943,-80471.609943
-81651.955676,-81651.955676,-81651.955676
-81242.917141,-81242.668916,-81242.616079
-81314.011793,-81312.911234,-81312.911234
-81194.966613,-81194.966613,-81194.966613
-81352.101084,-81352.101085,-81352.108308
-80589.548253,-80589.548253,-80589.548254
-80867.197544,-80867.197544,-80867.197544
-80913.929454,-80912.735336,-80912.490998
-79935.579130,-79935.579130,-79935.579130
-81146.804663,-81146.790466,-81146.301460
-80631.572431,-80631.572431,-80631.572431
-81309.317700,-81309.317700,-81309.317700
-80456.624151,-80456.624151,-80456.624151
-80835.324615,-80835.324615,-80835.324615
-80869.651690,-80869.214768,-80869.011955
-80523.015477,-80522.621263,-80522.621263
-80152.748213,-80152.748213,-80152.748213
-80732.534163,-80731.488460,-80731.488460
-80948.768945,-80948.317171,-80948.009682
-81354.890846,-81354.860765,-81354.860765
-81283.603270,-81283.603183,-81283.603136
-81082.483885,-81081.960825,-81081.790912
-80774.800366,-80773.354159,-80773.396975
-81479.790129,-81479.674707,-81479.674707
-80605.820845,-80605.820837,-80605.820837
-80841.316011,-80841.316011,-80841.316011
-80938.989109,-80938.709119,-80937.801909
-80907.565699,-80907.565699,-80907.565699
-80919.143608,-80919.143608,-80919.143608
-81150.986667,-81150.986660,-81150.986659
-80954.826465,-80954.815027,-80954.803362
-80632.919863,-80632.484817,-80632.484817
-80400.484570,-80400.484570,-80400.484570
-80539.310157,-80539.310157,-80539.310157
-80852.769397,-80852.688789,-80852.688789
-80402.577957,-80402.457550,-80402.457550
-80234.651700,-80234.651700,-80234.651700
-80350.207848,-80349.361071,-80349.361071
-80854.389702,-80854.389702,-80854.389702
-81150.805451,-81150.788063,-81150.788063
-81622.120504,-81622.120504,-81622.120504
-80971.222905,-80970.082662,-80970.082662
-80646.288271,-80646.288271,-80646.288271
-80081.410126,-80081.410126,-80081.410126
-80699.682242,-80699.560598,-80699.560598
-80770.927945,-80770.927945,-80770.927946
-81064.862157,-81064.620742,-81064.178377
-80757.855957,-80757.855957,-80757.855957
-81118.479871,-81118.385716,-81118.385716
-80860.241163,-80859.766579,-80859.766579
-80816.091481,-80814.262357,-80814.262343
-80962.861176,-80962.861176,-80962.861176
-81425.336849,-81424.721296,-81424.568982
-80804.705270,-80804.705270,-80804.705270
-80694.854290,-80694.854290,-80694.854290
-80810.892681,-80810.644351,-80807.728345
-80201.795053,-80201.795054,-80201.795054
-81100.927981,-81100.872727,-81100.872727
-80632.909750,-80632.909750,-80632.909750
-80347.058389,-80346.328742,-80345.923578
-80034.944075,-80034.928065,-80034.928065
-81503.475151,-81501.222776,-81500.976502
-81321.471231,-81321.471231,-81321.471231
-80103.379527,-80102.980768,-80102.970139
-80546.894610,-80546.867126,-80546.867126
-80849.750670,-80849.722720,-80848.998947
-80937.747547,-80937.646419,-80937.646419
-79996.861474,-79995.354796,-79995.354796
-81201.253370,-81201.253370,-81201.253370
-81045.369569,-81044.885618,-81043.727619
-80693.614385,-80693.584661,-80693.584661
-80801.158541,-80801.156621,-80801.156621
-80892.256408,-80891.917699,-80891.917699
-80945.563786,-80945.555324,-80945.555324
-80588.835906,-80588.718292,-80586.464052
-80494.886990,-80494.886990,-80494.886990
-80987.468262,-80987.468262,-80987.468262
-81432.634564,-81432.585934,-81432.585934
-80388.800133,-80388.231053,-80388.026058
-80445.208492,-80445.208492,-80445.208492
-81195.558419,-81195.558419,-81195.558419
