null1,null2,bsA
-94881.713487,-94879.918412,-94879.918415
-94989.389191,-94989.386686,-94988.895346
-94544.829746,-94544.759051,-94544.554970
-95301.341964,-95301.341808,-95301.191276
-95976.304312,-95976.304312,-95976.304312
-95448.156351,-95448.156351,-95445.759656
-95280.762227,-95281.268350,-95280.762228
-95316.683494,-95316.296595,-95313.425210
-95924.937265,-95924.903322,-95924.452479
-95602.216663,-95600.096203,-95600.096203
-94647.382541,-94646.764717,-94645.386234
-94964.320201,-94964.320201,-94963.818645
-95074.273327,-95074.277210,-95074.280707
-95633.020689,-95633.020689,-95632.868682
-95145.043197,-95144.940451,-95144.902210
-95683.035112,-95682.951397,-95682.464213
-96550.862711,-96550.175810,-96546.901489
-95337.382971,-95337.263701,-95337.263701
-96028.035793,-96027.378496,-96026.807088
-95719.668117,-95719.442416,-95719.062368
-95634.595895,-95634.595895,-95632.977416
-95794.453767,-95794.207599,-95791.192648
-96053.342237,-96052.394086,-96052.100899
-94654.495558,-94653.614636,-94653.071058
-94264.217074,-94262.627138,-94262.517472
-95135.460770,-95135.460770,-95135.460770
-95843.101378,-95842.305684,-95841.902836
-96344.105704,-96344.100428,-96343.652889
-94924.600014,-94922.758251,-94922.758251
-96224.480948,-96222.986754,-96220.666704
-94991.786079,-94991.567869,-94991.567830
-95819.969844,-95819.788552,-95819.397756
-94887.447155,-94887.390891,-94887.387479
-95506.050923,-95506.050923,-95504.491965
-95631.692017,-95629.058911,-95625.386956
-95632.210462,-95631.855522,-95631.846190
-94584.961657,-94583.808597,-94583.808598
-95631.499137,-95631.187479,-95629.338200
-95425.304127,-95425.306822,-95425.053760
-94900.381351,-94899.855157,-94898.578723
-95593.357828,-95593.357828,-95593.357830
-95303.168273,-95302.964849,-95302.346909
-96853.705833,-96853.467916,-96853.205433
-95411.032102,-95410.600566,-95408.775075
-95999.806013,-95999.683985,-95996.968683
-95919.433513,-95919.433513,-95919.004307
-95414.712086,-95414.463614,-95413.431418
-95435.570668,-95435.570668,-95435.430682
-94945.692911,-94945.686410,-94944.887473
-95215.155949,-95214.024585,-95213.956510
-95326.995240,-95326.668818,-95324.510815
-95844.114303,-95839.409233,-95838.223482
-95952.894408,-95952.612909,-95952.612490
-95961.899047,-95960.239134,-95957.438474
-94646.334500,-94646.055348,-94645.923880
-95246.908221,-95246.907838,-95246.907838
-94902.862233,-94902.862234,-94902.862233
-94169.026647,-94169.026647,-94168.453107
-95219.596607,-95219.596607,-95219.596607
-94202.577623,-94201.328704,-94200.585558
-96374.128796,-96374.113506,-96373.970180
-95412.165066,-95412.147760,-95412.147760
-96291.110457,-96291.110457,-96291.110457
-94732.884579,-94732.331304,-94731.670832
-95523.405566,-95523.405524,-95523.130844
-94594.821421,-94594.616341,-94594.485353
-95678.404881,-95678.152025,-95677.830995
-96094.774003,-96094.552964,-96093.097598
-94546.543351,-94546.445840,-94544.544366
-94822.157069,-94821.022636,-94817.691561
-95691.486654,-95691.413010,-95690.214280
-95490.263883,-95489.385181,-95489.385181
-95393.460703,-95390.101546,-95390.101546
-95254.839715,-95254.839715,-95254.839715
-95659.571282,-95659.130602,-95658.848886
-96869.996192,-96869.986497,-96867.005516
-95886.994128,-95886.752545,-95886.654633
-95272.010551,-95271.791404,-95270.645211
-95215.500113,-95215.500114,-95213.856923
-96362.858512,-96362.459659,-96361.249273
-95078.175621,-95078.175622,-95078.175806
-95603.306691,-95602.669801,-95602.011916
-95308.438701,-95308.406913,-95307.379387
-94660.436296,-94660.306958,-94659.294140
-95850.526857,-95850.526857,-95848.893360
-95575.451744,-95570.803494,-95569.785810
-95052.518647,-95051.873925,-95051.873925
-95272.844119,-95272.844119,-95272.844119
-96072.905511,-96072.905511,-96068.403139
-96033.327521,-96032.673211,-96029.319717
-95635.800914,-95635.727686,-95633.743175
-95937.315536,-95937.311481,-95931.386983
-95488.605929,-95488.605930,-95488.417576
-95801.573605,-95801.573605,-95801.194112
-93927.751555,-93927.632254,-93927.059996
-94529.152527,-94529.152528,-94529.152527
-95300.793571,-95300.171664,-95298.752760
-93784.626236,-93784.626236,-93782.740336
-95941.290649,-95940.576311,-95939.323515
-95951.386416,-95951.386416,-95950.882881
-95003.604981,-95003.473170,-95002.184773
-95206.432180,-95206.214782,-95206.214782
-95817.952495,-95817.943320,-95817.839935
-96149.819150,-96148.123234,-96146.328540
-94511.449250,-94510.717795,-94509.083554
-94764.671364,-94763.247083,-94763.247083
-95970.609923,-95970.595606,-95970.298246
-95141.156395,-95141.048743,-95139.516190
-95551.359007,-95551.329666,-95549.488445
-96743.928973,-96743.928975,-96741.290195
-95560.651679,-95560.651679,-95560.480500
-96629.816178,-96629.684692,-96628.304658
-95705.047780,-95701.522300,-95701.522300
-94683.991577,-94683.991577,-94683.756224
-94735.868020,-94735.436383,-94735.436383
-95056.386616,-95055.726487,-95055.507664
-95512.827590,-95512.762300,-95512.309313
-94950.706422,-94950.321605,-94950.138352
-95888.612619,-95888.611318,-95888.612619
-96498.676795,-96498.228469,-96498.228469
-94615.083080,-94612.589201,-94611.749977
-96166.021535,-96165.880284,-96164.167683
-95613.406831,-95613.406810,-95612.756051
-96128.560136,-96128.560136,-96127.755382
-95818.655600,-95818.655600,-95818.655600
-95205.511412,-95204.566384,-95204.285406
-95939.417004,-95938.425295,-95938.425295
-95404.763173,-95404.138373,-95403.123232
-97404.672283,-97401.573720,-97399.805562
-95893.032935,-95891.957110,-95890.282758
-95739.063866,-95738.199897,-95737.928742
-95543.761268,-95543.362847,-95541.059764
-94057.088475,-94057.053192,-94057.088475
-96220.787105,-96220.787105,-96220.787298
-95035.383541,-95035.239091,-95035.239091
-95255.224332,-95254.271458,-95254.271399
-95524.012858,-95523.974952,-95522.081650
-95935.076115,-95934.365093,-95934.365093
-94770.755227,-94770.755227,-94770.755227
-95654.387877,-95654.385540,-95654.349959
-96431.356064,-96431.039794,-96429.852401
-95575.715826,-95574.157924,-95574.157924
-95781.116513,-95780.953364,-95778.928091
-95755.327743,-95754.670773,-95753.371609
-96096.985456,-96096.879254,-96096.793902
