null2,bsA
-71441.103953,-71440.829836
-70266.801686,-70266.801686
-71276.434115,-71275.884871
-71683.696406,-71683.696406
-71089.058866,-71088.924716
-71643.139855,-71642.884315
-71175.782728,-71173.903686
-71042.884824,-71042.884824
-71113.065177,-71112.749058
-71419.936625,-71419.936625
-71880.867127,-71880.867127
-72054.480931,-72054.480931
-71621.813752,-71621.813752
-71366.568275,-71366.568275
-71652.009400,-71651.923801
-71865.459022,-71865.459022
-71438.995573,-71438.995573
-71971.221588,-71971.221588
-70923.712794,-70923.712794
-71626.994721,-71626.982698
-71194.590296,-71194.590296
-70476.143607,-70476.143607
-71980.806854,-71980.060650
-71483.848914,-71483.744483
-70980.720955,-70980.720955
-70835.120726,-70835.094014
-71570.218454,-71570.218454
-71459.721005,-71459.721005
-70609.375346,-70609.284431
-71320.520478,-71320.520478
-71533.276268,-71532.962344
-71541.534724,-71541.494920
-71295.715901,-71295.715901
-72041.945013,-72041.875923
-71458.841669,-71458.636756
-72167.696931,-72165.824410
-71391.816251,-71390.916685
-71133.647478,-71133.647478
-71267.783853,-71267.783853
-71452.868410,-71452.378432
-70897.225457,-70897.217472
-71554.407431,-71553.797348
-72231.991917,-72230.801482
-71169.544756,-71169.544756
-70944.312831,-70943.015025
-72022.693658,-72022.693658
-71738.083831,-71738.071524
-71391.713967,-71391.713967
-71414.500023,-71414.454011
-70819.031677,-70818.876962
-71705.074153,-71704.521735
-71324.450394,-71323.892087
-71550.287132,-71546.983461
-71410.146952,-71410.146952
-71555.139459,-71553.555082
-70964.787019,-70964.786272
-71006.734368,-71006.734368
-71627.951007,-71627.951007
-71745.493457,-71745.493457
-71060.522306,-71059.465783
-71173.357941,-71173.357941
-71302.483348,-71302.483348
-71266.628853,-71265.644921
-71442.468644,-71441.758388
-71139.191023,-71139.190986
-71332.089086,-71332.089086
-71373.042690,-71373.035466
-71282.161331,-71281.936120
-71217.388780,-71216.840689
-71222.426272,-71222.426272
-70921.206590,-70921.206590
-70945.064903,-70945.064903
-71522.918598,-71522.918598
-71474.281876,-71474.281876
-71577.424143,-71576.678768
-71137.961545,-71137.961545
-71024.903940,-71024.850058
-71090.468699,-71090.391371
-71053.845113,-71053.845113
-71670.151448,-71669.945637
-71842.955182,-71839.924561
-70936.316168,-70936.316168
-71327.414165,-71327.414165
-71659.552367,-71658.235038
-71135.580883,-71135.580883
-70941.574721,-70941.574721
-71950.664481,-71950.662688
-71091.167807,-71091.167807
-71089.188314,-71089.188314
-70953.392281,-70953.302656
-71249.355695,-71249.225080
-70941.710652,-70941.364330
-71212.409192,-71212.409192
-71855.674622,-71855.632156
-71337.742807,-71337.567163
-70993.766949,-70993.766949
-71677.053099,-71677.053099
-71017.658474,-71017.360806
-71126.500631,-71126.500631
-70484.137483,-70484.099854
-71333.055081,-71332.948161
-70896.888458,-70896.803985
-71349.139004,-71349.139004
-71694.120088,-71693.990663
-71478.834277,-71478.834277
-72032.327749,-72032.327749
-71108.224800,-71108.224800
-70948.275487,-70948.212689
-72194.805450,-72194.316105
-71698.935894,-71698.935894
-70874.955265,-70874.955265
-71431.692271,-71431.692271
-71575.607585,-71574.344394
-70906.835320,-70906.080593
-71343.918810,-71343.918810
-71360.930207,-71360.930207
-71204.544455,-71204.195676
-71664.883352,-71663.877779
-71055.389902,-71055.353416
-71237.830272,-71235.899435
-71529.194106,-71529.194106
-71138.126751,-71138.126751
-70966.403556,-70965.313157
-71479.685412,-71479.685412
-72291.126335,-72291.025597
-70905.472935,-70905.214037
-70908.785979,-70908.785979
-71665.095465,-71665.095465
-71443.372125,-71443.352977
-71329.361582,-71328.023952
-71303.842114,-71303.842114
-70668.881364,-70668.881364
-71092.936156,-71092.901821
-71532.366178,-71532.362461
-71565.125741,-71564.994496
-71372.441008,-71372.441008
-71808.253838,-71808.253838
-71415.481826,-71415.481826
-71734.137070,-71733.955543
-71231.294594,-71231.294594
-70547.844763,-70545.434761
-70793.043124,-70793.043124
-70881.998719,-70881.972113
-71512.492643,-71511.492318
-71242.107529,-71242.107529
-72083.409684,-72083.409684
-71933.682209,-71931.971315
-71648.142265,-71648.142265
-71047.482666,-71047.482666
-71230.346082,-71230.346082
-71244.587108,-71244.374298
-70786.855471,-70786.855471
-71008.992772,-71008.992772
-71437.161596,-71437.161596
-71237.093362,-71237.093362
-71217.723658,-71217.060828
-70513.715281,-70513.715281
-71134.179394,-71134.179394
-72094.477779,-72094.477779
-71057.734339,-71057.362076
-71060.033012,-71059.842915
-72206.746246,-72206.746246
-71549.676042,-71548.960872
-71057.345781,-71057.345781
-71492.252778,-71492.252778
-71773.822351,-71773.798804
-71479.926640,-71479.865112
-71147.319887,-71147.319887
-70590.872245,-70590.872245
-71071.885548,-71071.885548
-71550.677716,-71550.305404
-71161.865384,-71161.865384
-71725.990818,-71725.990818
-71807.604638,-71807.604638
-71329.181306,-71329.181306
-71297.098205,-71296.672492
-71410.581419,-71410.581419
-70633.788637,-70633.788637
-71074.137816,-71074.137816
-70870.157756,-70870.157756
-70826.426425,-70826.426425
-70821.416568,-70821.301460
-71279.137341,-71279.137341
-71144.242079,-71144.242079
-72220.972062,-72220.972062
-70842.997149,-70842.997149
-70492.492278,-70492.492278
-71072.392619,-71072.392619
-71454.393348,-71454.393348
-71105.065354,-71105.065354
-71488.004975,-71487.774587
-72030.845780,-72030.845780
-71799.289592,-71799.289592
-71420.346078,-71420.346078
-71135.208983,-71135.004432
-70855.579376,-70854.940384
-71422.558753,-71422.558753
-70879.821551,-70879.821551
-71465.067104,-71464.359374
-71089.486096,-71089.475316
-71211.514542,-71208.659476
-71130.869471,-71130.209266
-71431.207420,-71431.207420
-71537.335913,-71537.335913
-71161.250501,-71161.145429
-71328.399585,-71328.061892
-71010.771940,-71010.448188
-71072.639401,-71070.914437
-71288.950969,-71288.809129
-71000.620671,-71000.558174
-71556.914926,-71556.128007
-71289.134611,-71289.116436
-71752.296185,-71751.839183
-71273.684585,-71272.346682
-71057.052522,-71056.486584
-71056.589143,-71056.587456
-70905.284680,-70904.528738
-70930.690479,-70930.688294
-71438.774168,-71438.645086
-71583.403204,-71583.403204
-71624.263381,-71623.241357
-71330.477755,-71329.188305
-71552.883536,-71552.882331
-71884.745352,-71884.231825
-70584.023158,-70584.023158
-70884.736831,-70884.481706
-71809.815827,-71809.776725
-71876.479561,-71873.696597
-71709.835718,-71709.835718
-70791.323394,-70791.279146
-71309.342530,-71309.342530
-71228.376575,-71227.866751
-71319.948446,-71319.948446
-71125.555407,-71124.887553
-71342.811590,-71342.811590
-71915.902606,-71915.890219
-71567.895381,-71567.341629
-71625.356205,-71625.356205
-71474.927005,-71474.927005
-70908.060072,-70907.923548
-71080.605985,-71080.605985
-71752.605434,-71750.261384
-71397.669228,-71397.230837
-71381.410343,-71380.452683
-70932.125080,-70932.124467
-71328.571005,-71328.135700
-71429.787551,-71429.787551
-71029.533282,-71029.306752
-71815.714532,-71815.229367
-70918.544030,-70918.544030
-71699.621696,-71699.647039
-71644.940033,-71644.883071
-70781.693818,-70781.693818
-71837.742038,-71837.742038
-70688.595780,-70688.595780
-71412.031588,-71412.031588
-70993.697343,-70993.400388
-71265.597202,-71265.597202
-71637.512395,-71637.345426
-71964.214697,-71964.214697
-71769.960392,-71768.924032
-71713.135327,-71713.088677
-70986.358026,-70986.199655
-71619.808315,-71619.536186
-71213.000095,-71211.903050
-71072.139548,-71072.139548
-71034.253354,-71034.253354
-71616.775751,-71614.492669
-72231.094087,-72231.094087
-71596.230776,-71596.230776
-71119.047640,-71119.047640
-71641.269193,-71640.933414
-70559.922125,-70559.922125
-71549.235750,-71549.235750
-70885.577710,-70885.577710
-70973.918632,-70973.807151
-71493.417761,-71493.337413
-70979.611093,-70978.956235
-72358.282699,-72358.282699
-71596.800505,-71596.599493
-71138.532169,-71138.513343
-71006.060678,-71006.060678
-71770.830325,-71770.830325
-71693.658401,-71693.658401
-71352.878982,-71352.878982
-71162.222863,-71162.222863
-71454.743046,-71453.849312
-71562.127374,-71560.380862
-71708.432866,-71707.561642
-71200.787830,-71200.787830
-71304.454632,-71304.454632
-71309.117646,-71309.117646
-71783.979440,-71783.979440
-71594.666748,-71594.666748
-71599.463166,-71599.273103
-71713.833868,-71713.719582
-71236.796955,-71236.775337
-71176.315149,-71176.273430
-71388.339191,-71388.339191
-71180.142179,-71179.888180
-71247.695188,-71247.695188
-72005.322164,-72005.322164
-71651.730371,-71651.672808
-70886.386939,-70885.044970
-71815.713407,-71815.713407
-71824.040821,-71824.040820
-71429.605174,-71429.605174
-71128.253710,-71128.122023
-71415.165941,-71414.535362
-71173.260529,-71173.257784
-71610.006638,-71609.355300
-71564.068104,-71563.957669
-71835.292027,-71834.306650
-71341.543342,-71341.543342
-70739.160984,-70739.160984
-70746.777278,-70746.777278
-71736.221042,-71736.134203
-70770.866257,-70770.849153
-71131.563258,-71131.563258
-71431.622310,-71431.622310
-71630.843468,-71630.238640
-71745.951684,-71745.951684
-71318.685787,-71318.594822
-71639.381128,-71639.068480
-71613.613018,-71613.613018
-71188.329131,-71188.329131
-71265.071097,-71265.071097
-71325.993568,-71324.856022
-71618.096157,-71618.096157
-71400.499042,-71400.499042
-71213.055497,-71213.055476
-71161.685911,-71160.399516
-70951.856922,-70951.755895
-72073.627009,-72072.770621
-71386.963996,-71386.963996
-71861.475485,-71861.297134
-71290.119881,-71286.452615
-71094.581516,-71094.581516
-71353.834716,-71353.834716
-71407.050891,-71407.050891
-71556.761090,-71556.761090
-71507.005197,-71506.747216
-71062.362215,-71062.359124
-71134.887720,-71134.887720
-71789.495845,-71789.495845
-71114.337711,-71114.337711
-72141.014337,-72141.014337
-72196.713631,-72196.713631
-71953.140799,-71952.801430
-72103.183854,-72103.150895
-71212.825940,-71212.825940
-71208.057450,-71206.932191
-71164.925552,-71164.925552
-71423.835763,-71423.767991
-71324.064773,-71323.981325
-71002.276946,-71001.424816
-71428.038985,-71427.903557
-71897.631613,-71897.482029
-71605.222059,-71605.222059
-71362.330518,-71362.330518
-71582.015869,-71582.015800
-70718.059471,-70717.908632
-71483.802668,-71483.802668
-71656.298436,-71656.298436
-70920.577308,-70920.577308
-71619.648130,-71619.648130
-71774.684955,-71774.684954
-70814.227379,-70813.313550
-71707.001738,-71707.001738
-71471.949600,-71471.945644
-71371.475292,-71371.475292
-71207.752396,-71207.752396
