null1,null2,bsA
-94853.472285,-94853.472286,-94852.320746
-95093.821188,-95093.821188,-95093.821188
-94533.092866,-94533.092866,-94533.092867
-95238.261300,-95238.261300,-95238.261300
-95986.793825,-95986.793825,-95986.793825
-95323.199163,-95323.199163,-95323.199164
-95234.038371,-95234.038371,-95234.038371
-95479.303029,-95479.303030,-95479.303029
-95909.397048,-95909.397048,-95909.397048
-95832.521668,-95832.521668,-95832.521668
-94848.321264,-94848.321264,-94848.321264
-94724.025274,-94724.025274,-94724.025274
-94976.942153,-94976.942153,-94976.942153
-95623.449036,-95623.449036,-95623.449036
-95147.515898,-95147.515898,-95147.515898
-95640.234134,-95640.234135,-95640.234134
-96394.974009,-96394.974009,-96394.974009
-95193.854279,-95193.854279,-95193.854279
-96044.568430,-96044.568430,-96044.568430
-95826.334881,-95826.334881,-95826.334881
-95930.550367,-95930.550368,-95930.550367
-95824.331426,-95824.331426,-95824.331426
-96112.333547,-96112.333548,-96112.333548
-94935.403877,-94935.403877,-94935.403877
-94414.304942,-94414.304943,-94414.304942
-95281.896250,-95281.896250,-95281.896250
-95888.270053,-95888.270053,-95888.270053
-96403.502201,-96403.502201,-96403.502202
-94833.192761,-94833.192761,-94833.192761
-96167.712408,-96167.712408,-96167.712409
-95420.437347,-95420.437347,-95420.437347
-95895.427865,-95895.427865,-95895.427865
-94936.562779,-94936.562780,-94936.562780
-95301.888530,-95301.888530,-95301.888530
-95592.646374,-95592.646374,-95592.646375
-95676.475470,-95676.476170,-95676.475470
-94580.585781,-94580.585782,-94580.585781
-95721.384340,-95721.384340,-95721.384340
-95553.910803,-95553.910803,-95553.910803
-95001.152179,-95001.152179,-95001.152179
-95706.117272,-95706.117272,-95706.117272
-95420.703497,-95420.703497,-95420.703497
-96872.302333,-96872.302333,-96872.302333
-95450.302842,-95450.302842,-95450.302842
-95972.522400,-95972.522400,-95972.346485
-95883.541743,-95883.541743,-95883.541744
-95569.072516,-95569.072516,-95569.072516
-95490.224245,-95490.224245,-95490.224245
-94966.179852,-94966.179852,-94966.179852
-95119.427811,-95119.427811,-95119.427811
-95179.588256,-95179.588257,-95179.588256
-95608.594697,-95608.594697,-95608.594697
-96110.925937,-96110.925937,-96110.925937
-96022.992738,-96022.992738,-96022.992856
-94641.567740,-94641.567740,-94641.071894
-95276.663006,-95276.663006,-95276.663006
-95161.118618,-95161.118618,-95161.118618
-94467.454897,-94467.454898,-94467.454897
-95153.199277,-95153.199277,-95153.199277
-94323.169751,-94323.169751,-94323.169751
-96474.000609,-96474.000609,-96474.000609
-95863.290587,-95863.290587,-95862.747553
-96346.471167,-96346.473786,-96346.471167
-94978.333043,-94978.333043,-94978.333043
-95684.192560,-95684.192561,-95684.192560
-94567.432589,-94567.432590,-94567.432590
-95418.436119,-95418.436134,-95418.436119
-96017.759810,-96017.759810,-96017.759810
-94421.709165,-94421.709166,-94421.709166
-94652.591294,-94652.591295,-94652.591294
-96094.178142,-96094.178142,-96094.178142
-95550.543133,-95550.543133,-95550.543133
-95465.221526,-95465.221526,-95465.221527
-95122.519031,-95122.519031,-95122.519031
-95913.404645,-95913.404645,-95913.404645
-96697.570345,-96697.570345,-96697.570345
-96093.966980,-96093.966980,-96093.966980
-95106.687860,-95106.687860,-95106.687860
-95177.266915,-95177.266915,-95177.187105
-96440.265438,-96440.265438,-96439.796150
